Toolchain               2023b           2024a
IPython                     ok                  ok
PyYAML                      ok                  ok
Perl                            ok                  ok
Parsl                           NO                 NO
    PyZMQ                   ok                  ok
    dill                            ok                  ok
    paramiko                ok                  NO
alsa-lib                        ok                  ok
BLAST+                      ok                  ok
bokeh                           ok                  ok
Bowtie2                     ok                  ok
bzip2                           ok                  ok
cairo                           ok                  ok
cURL                            ok                  ok
cutadapt                    NO                  NO
    python-isal             ok                  ok
DendroPy                    ok                  NO
expat                           ok                  ok
FastTree                        ok                  NO
fontconfig                  ok                  ok
FriBidi                         ok                  ok
giflib                              ok                  ok
GLib                            ok                  ok
GSL                             ok                  ok
h5py                            ok                  ok
HarfBuzz                    ok                  ok
MAFFT                           ok                  ok
scikit-bio                      NO                  NO
    biom-format             ok                  ok
scikit-learn                    ok                  ok
Seaborn                         ok                  ok
statsmodels                 ok                  ok
umap-learn                  NO                  NO
    numba                       ok                  ok
    LLVM                        ok                      ok? lite and minimal
    tqdm                        ok                      ok
VSEARCH                         NO              NO
UniFrac                            NO               NO
    HDF5                            ok                  ok
    lz4                                 ok                  ok
    Szip                               ok                  ok
    libaec                          ok                  ok
attr                                    NO              ok
Brotli-python                   ok                 ok
SAMtools                        ok                  ok
HTSlib                              ok                  ok
HMMER                           ok                  ok
networkx                        ok                  ok
wrapt                               ok                  ok
nose3                               NO              NO
    coverage                    ok                  NO
PyHMMER                         ok              NO
gffutils                            NO                 NO
    pyfaidx                         ok                  ok
    Biopython                   ok                  ok
    pybedtools                  ok                  NO
protobuf-python             ok                  ok
